Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2015,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,118216181,118268954
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-705000,-705000
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-705000,-705000
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-65000,-65000
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-65000,-65000
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-65000,-65000
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2049025,-2049025
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Other Charges,Other Charges,Total of Other Charges,77388,77388
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Other Charges,Other Charges,Total of Other Charges,77388,77388
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Other Charges,Other Charges,Total of Other Charges,77388,77388
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,106400,106400
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,210000,210000
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,650600,650600
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2061058,2073680
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2073680,2065425
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2344101,2378558
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2994734,2965034
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3107417,3115593
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3117479,3117479
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,17727461,17744539
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18239464,18217967
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18326456,18334711
2013,Public Protection,Sheriff's Office,Sheriffs Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,116649,116649
2015,Public Protection,Sheriff's Office,Sheriffs Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,126137,129439
2014,Public Protection,Sheriff's Office,Sheriffs Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,126221,126221
2013,Public Protection,Sheriff's Office,Sheriffs Grants,Fixed Assets,Fixed Assets,Total of Fixed Assets,917033,917033
2015,Public Protection,Sheriff's Office,Sheriffs Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2997141,2997141
2014,Public Protection,Sheriff's Office,Sheriffs Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2997141,2997141
2013,Public Protection,Sheriff's Office,Sheriffs Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2997141,2997141
2014,Public Protection,Sheriff's Office,Sheriffs Grants,Fixed Assets,Fixed Assets,Total of Fixed Assets,3303788,3303788
2015,Public Protection,Sheriff's Office,Sheriffs Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4196461,4196461
2014,Public Protection,Sheriff's Office,Sheriffs Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4733388,4733388
2013,Public Protection,Sheriff's Office,Sheriffs Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6972254,6972254
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-4640249,-4640249
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-3999309,-3999309
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-3689259,-3689259
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-182728,-182728
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-163520,-163520
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Fixed Assets,Fixed Assets,Total of Fixed Assets,64067,64067
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Fixed Assets,Fixed Assets,Total of Fixed Assets,477608,477608
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Fixed Assets,Fixed Assets,Total of Fixed Assets,484702,484702
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6155161,6155161
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6529785,6529785
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6567857,6567857
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6755255,6919981
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6824595,6835254
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,7183597,7869176
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,54367590,54367590
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,59892604,59703132
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,65355824,65191098
2014,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-189344,-189344
2015,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-167880,-167880
2013,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-159882,-159882
2014,Public Protection,Sheriff's Office,Sheriff's Office,Fixed Assets,Fixed Assets,Total of Fixed Assets,98000,98000
2015,Public Protection,Sheriff's Office,Sheriff's Office,Fixed Assets,Fixed Assets,Total of Fixed Assets,115190,115190
2013,Public Protection,Sheriff's Office,Sheriff's Office,Fixed Assets,Fixed Assets,Total of Fixed Assets,134000,134000
2013,Public Protection,Sheriff's Office,Sheriff's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3650177,3650177
2014,Public Protection,Sheriff's Office,Sheriff's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3800539,3800539
2015,Public Protection,Sheriff's Office,Sheriff's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4347858,4393883
2013,Public Protection,Sheriff's Office,Sheriff's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4588010,4588010
2014,Public Protection,Sheriff's Office,Sheriff's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4765637,4765637
2015,Public Protection,Sheriff's Office,Sheriff's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4850049,5218789
2013,Public Protection,Sheriff's Office,Sheriff's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18655257,18655257
2014,Public Protection,Sheriff's Office,Sheriff's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18677581,18677581
2015,Public Protection,Sheriff's Office,Sheriff's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,19682984,19636959
2013,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-44406,-44406
2014,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-44406,-44406
2015,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-34177,-34177
2014,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-54635,-54635
2013,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-54635,-54635
2015,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-54635,-54635
2013,Public Protection,Trial Court Funding,Court Security Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,225138,225138
2013,Public Protection,Trial Court Funding,Court Security Realignment,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,490443,490443
2013,Public Protection,Trial Court Funding,Court Security Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,19118628,19118628
2013,Public Protection,Trial Court Funding,Trial Court Funding,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,693821,693821
2014,Public Protection,Trial Court Funding,Trial Court Funding,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,720412,720412
2015,Public Protection,Trial Court Funding,Trial Court Funding,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,877548,877548
